code,area
ATA,14000000
ARB,13621380
CSS,404850
EAS,24323100
EAP,15853650
EMU,2551580
ECS,27380709
ECA,22747797
EUU,4181730
HPC,19750370
HIC,33992732
NOC,3168532
OEC,30824200
LCN,20142390
LAC,20115970
LDC,20165970
LMY,95717607
LIC,16077080
LMC,20066857
MEA,11235990
MNA,8641070
MIC,79640527
NAC,18240980
INX,
OED,34281310
OSS,1846080
PSS,79050
SST,2329980
SAS,4771220
SSF,23615950
SSA,23587900
UMC,59573670
WLD,129710339
AFG,652230
ALB,27400
DZA,2381740
ASM,200
AND,470
AGO,1246700
ATG,440
ARG,2736690
ARM,28480
ABW,180
AUS,7682300
AUT,82430
AZE,82620
BHS,10010
BHR,760
BGD,130170
BRB,430
BLR,202820
BEL,30280
BLZ,22810
BEN,110620
BMU,50
BTN,38390
BOL,1083300
BIH,51000
BWA,566730
BRA,8459420
BRN,5270
BGR,108560
BFA,273600
BDI,25680
KHM,176520
CMR,472710
CAN,9093510
CPV,4030
CYM,240
CAF,622980
TCD,1259200
CHI,190
CHL,743530
CHN,9327480
COL,1109500
COM,1860
COD,2267050
COG,341500
CRI,51060
CIV,318000
HRV,55960
CUB,106440
CUW,444
CYP,9240
CZE,77250
DNK,42430
DJI,23180
DMA,750
DOM,48320
ECU,248360
EGY,995450
SLV,20720
GNQ,28050
ERI,101000
EST,42390
ETH,1000000
FRO,1390
FJI,18270
FIN,303900
FRA,547660
PYF,3660
GAB,257670
GMB,10000
GEO,69490
DEU,348610
GHA,227540
GRC,128900
GRL,2166086
GRD,340
GUM,540
GTM,107160
GIN,245720
GNB,28120
GUY,196850
HTI,27560
HND,111890
HKG,1042
HUN,90530
ISL,100250
IND,2973190
IDN,1811570
IRN,1628550
IRQ,434320
IRL,68890
IMN,570
ISR,21640
ITA,294140
JAM,10830
JPN,364500
JOR,88780
KAZ,2699700
KEN,569140
KIR,810
PRK,120410
KOR,97100
KSV,10887
KWT,17820
KGZ,191800
LAO,230800
LVA,62180
LBN,10230
LSO,30360
LBR,96320
LBY,1759540
LIE,160
LTU,62670
LUX,2590
MAC,28
MKD,25220
MDG,581540
MWI,94280
MYS,328550
MDV,300
MLI,1220190
MLT,320
MHL,180
MRT,1030700
MUS,2030
MEX,1943950
FSM,700
MDA,32890
MCO,2
MNG,1553560
MNE,13450
MAR,446300
MOZ,786380
MMR,653520
NAM,823290
NPL,143350
NLD,33730
NCL,18280
NZL,263310
NIC,120340
NER,1266700
NGA,910770
MNP,460
NOR,305470
OMN,309500
PAK,770880
PLW,460
PAN,74340
PNG,452860
PRY,397300
PER,1280000
PHL,298170
POL,304200
PRT,91470
PRI,8870
QAT,11590
ROU,230060
RUS,16376870
RWA,24670
WSM,2830
SMR,60
STP,960
SAU,2149690
SEN,192530
SRB,87460
SYC,460
SLE,71620
SGP,700
SXM,34
SVK,48090
SVN,20140
SLB,27990
SOM,627340
ZAF,1214470
SSD,644329
ESP,498800
LKA,62710
KNA,260
LCA,610
MAF,54.4
VCT,390
SDN,1861484
SUR,156000
SWZ,17200
SWE,410340
CHE,40000
SYR,183630
TJK,139960
TZA,885800
THA,510890
TLS,14870
TGO,54390
TON,720
TTO,5130
TUN,155360
TUR,769630
TKM,469930
TCA,950
TUV,30
UGA,199810
UKR,579320
ARE,83600
GBR,241930
USA,9147420
URY,175020
UZB,425400
VUT,12190
VEN,882050
VNM,310070
VIR,350
PSE,6020
YEM,527970
ZMB,743390
ZWE,386850
