id,continent
214,North America
90,Oceania
760,Asia
768,Africa
96,Asia
10,Antarctica
12,Africa
620,Europe
498,Europe
499,Europe
804,Europe
496,Asia
694,Africa
222,North America
818,Africa
288,Africa
540,Oceania
404,Africa
340,North America
400,Asia
548,Oceania
348,Europe
408,Asia
716,Africa
710,Africa
120,Africa
24,Africa
158,Asia
260,Seven seas (open ocean)
124,North America
218,South America
268,Asia
414,Asia
417,Asia
410,Asia
372,Europe
418,Asia
376,Asia
591,North America
586,Asia
704,Asia
598,Oceania
706,Africa
196,Asia
191,Europe
144,Asia
192,North America
270,Africa
392,Asia
116,Asia
275,Asia
276,Europe
112,Europe
32,South America
31,Asia
36,Oceania
250,Europe
795,Asia
792,Asia
762,Asia
524,Asia
428,Europe
368,Asia
364,Asia
422,Asia
528,Europe
360,Asia
426,Africa
-99,Africa
300,Europe
442,Europe
440,Europe
304,North America
380,Europe
108,Africa
246,Europe
384,Africa
242,Oceania
388,North America
100,Europe
44,North America
104,Asia
40,Europe
784,Asia
826,Europe
780,North America
840,North America
788,Africa
643,Europe
642,Europe
646,Africa
434,Africa
512,Asia
430,Africa
516,Africa
458,Asia
740,South America
578,Europe
626,Asia
624,Africa
450,Africa
454,Africa
332,North America
178,Africa
600,South America
887,Asia
56,Europe
50,Asia
51,Asia
170,South America
854,Africa
484,North America
858,South America
180,Africa
732,Africa
508,Africa
705,Europe
188,North America
630,North America
752,Europe
634,Asia
756,Europe
68,South America
562,Africa
466,Africa
566,Africa
226,Africa
764,Asia
703,Europe
504,Africa
860,Asia
862,South America
724,Europe
728,Africa
729,Africa
76,South America
604,South America
152,South America
72,Africa
558,North America
70,Europe
156,Asia
748,Africa
554,Oceania
608,Asia
238,South America
231,Africa
232,Africa
64,Asia
398,Asia
800,Africa
320,North America
324,Africa
328,South America
233,Europe
688,Europe
203,Europe
894,Africa
204,Africa
140,Africa
208,Europe
616,Europe
148,Africa
84,North America
4,Asia
8,Europe
686,Africa
834,Africa
262,Africa
356,Asia
352,Europe
478,Africa
682,Asia
807,Europe
266,Africa
