Code	"Population estimate for
July 1, 2013"
US_CA	38,332,521
US_TX	26,448,193
US_NY	19,651,127
US_FL	19,552,860
US_IL	12,882,135
US_PA	12,773,801
US_OH	11,570,808
US_GA	9,992,167
US_MI	9,895,622
US_NC	9,848,060
US_NJ	8,899,339
US_VA	8,260,405
US_WA	6,971,406
US_MA	6,692,824
US_AZ	6,626,624
US_IN	6,570,902
US_TN	6,495,978
US_MO	6,044,171
US_MD	5,928,814
US_WI	5,742,713
US_MN	5,420,380
US_CO	5,268,367
US_AL	4,833,722
US_SC	4,774,839
US_LA	4,625,470
US_KY	4,395,295
US_OR	3,930,065
US_OK	3,850,568
US_CT	3,596,080
US_IA	3,090,416
US_MS	2,991,207
US_AR	2,959,373
US_UT	2,900,872
US_KS	2,893,957
US_NV	2,790,136
US_NM	2,085,287
US_NE	1,868,516
US_WV	1,854,304
US_ID	1,612,136
US_HI	1,404,054
US_ME	1,328,302
US_NH	1,323,459
US_RI	1,051,511
US_MT	1,015,165
US_DE	925,749
US_SD	844,877
US_AK	735,132
US_ND	723,393
US_DC	646,449
US_VT	626,630
US_WY	582,658












































































































































































































































































































































































































































































































































































































































































































































































































































































































































































