SUA3	ISOA3	COUNTRY	Population	Population Date
AFG	AFG	Afghanistan	31,822,848	July 2014
ALB	ALB	Albania	3,020,209	July 2014
DZA	DZA	Algeria	38,813,722	July 2014
ASM	ASM	American Samoa	54,517	July 2014
AND	AND	Andorra	85,458	July 2014
AGO	AGO	Angola	19,088,106	July 2014
AIA	AIA	Anguilla	16,086	July 2014
ATG	ATG	Antigua and Barbuda	91,295	July 2014
ARG	ARG	Argentina	43,024,374	July 2014
ARM	ARM	Armenia	3,060,631	July 2014
ABW	ABW	Aruba	110,663	July 2014
AUS	AUS	Australia	22,507,617	July 2014
AUT	AUT	Austria	8,223,062	July 2014
AZE	AZE	Azerbaijan	9,686,210	July 2014
BHS	BHS	Bahamas, The	321,834	July 2014
BHR	BHR	Bahrain	1,314,089	July 2014
BGD	BGD	Bangladesh	166,280,712	July 2014
BRB	BRB	Barbados	289,680	July 2014
BLR	BLR	Belarus	9,608,058	July 2014
BEL	BEL	Belgium	10,449,361	July 2014
BLZ	BLZ	Belize	340,844	July 2014
BEN	BEN	Benin	10,160,556	July 2014
BMU	BMU	Bermuda	69,839	July 2014
BTN	BTN	Bhutan	733,643	July 2014
BOL	BOL	Bolivia	10,631,486	July 2014
BIH	BIH	Bosnia and Herzegovina	3,871,643	July 2014
BWA	BWA	Botswana	2,155,784	July 2014
BRA	BRA	Brazil	202,656,788	July 2014
VGB	VGB	British Virgin Islands	32,680	July 2014
BRN	BRN	Brunei	422,675	July 2014
BGR	BGR	Bulgaria	6,924,716	July 2014
BFA	BFA	Burkina Faso	18,365,123	July 2014
MMR	MMR	Burma	55,746,253	July 2014
BDI	BDI	Burundi	10,395,931	July 2014
CPV	CPV	Cabo Verde	538,535	July 2014
KHM	KHM	Cambodia	15,458,332	July 2014
CMR	CMR	Cameroon	23,130,708	July 2014
CAN	CAN	Canada	34,834,841	July 2014
CYM	CYM	Cayman Islands	54,914	July 2013
CAF	CAF	Central African Republic	5,277,959	July 2014
TCD	TCD	Chad	11,412,107	July 2014
CHL	CHL	Chile	17,363,894	July 2014
CHN	CHN	China	1,355,692,576	July 2014
AUS	AUS	Cocos (Keeling) Islands	596	July 2014
COL	COL	Colombia	46,245,297	July 2014
COM	COM	Comoros	766,865	July 2014
COD	COD	Congo, Democratic Republic of the	77,433,744	July 2014
COG	COG	Congo, Republic of the	4,662,446	July 2014
COK	COK	Cook Islands	10,134	July 2014
CRI	CRI	Costa Rica	4,755,234	July 2014
CIV	CIV	Cote d'Ivoire	22,848,945	July 2014
HRV	HRV	Croatia	4,470,534	July 2014
CUB	CUB	Cuba	11,047,251	July 2014
CYP	CYP	Cyprus	1,172,458	July 2014
CZE	CZE	Czech Republic	10,627,448	July 2014
DNK	DNK	Denmark	5,569,077	July 2014
DJI	DJI	Djibouti	810,179	July 2014
DMA	DMA	Dominica	73,449	July 2014
DOM	DOM	Dominican Republic	10,349,741	July 2014
ECU	ECU	Ecuador	15,654,411	July 2014
EGY	EGY	Egypt	86,895,099	July 2014
SLV	SLV	El Salvador	6,125,512	July 2014
GNQ	GNQ	Equatorial Guinea	722,254	July 2014
ERI	ERI	Eritrea	6,380,803	July 2014
EST	EST	Estonia	1,257,921	July 2014
ETH	ETH	Ethiopia	96,633,458	July 2014
FLK	FLK	Falkland Islands (Islas Malvinas)	2,840	July 2012
FRO	FRO	Faroe Islands	49,947	July 2014
FJI	FJI	Fiji	903,207	July 2014
FIN	FIN	Finland	5,268,799	July 2014
FRA	FRA	France	66,259,012	July 2014
PYF	PYF	French Polynesia	280,026	July 2014
GAB	GAB	Gabon	1,672,597	July 2014
GMB	GMB	Gambia, The	1,925,527	July 2014
PSX	PSE	Gaza Strip	1,816,379	July 2014
GEO	GEO	Georgia	4,935,880	July 2014
DEU	DEU	Germany	80,996,685	July 2014
GHA	GHA	Ghana	25,758,108	July 2014
GRC	GRC	Greece	10,775,557	July 2014
GRL	GRL	Greenland	57,728	July 2014
GRD	GRD	Grenada	110,152	July 2014
GUM	GUM	Guam	161,001	July 2014
GTM	GTM	Guatemala	14,647,083	July 2014
