Code,Name,area_km2,area_km2_source,area_km2_source_url,population,population_date,population_source,population_source_url
US States,,,,,,,,
US_AK,Alaska,1477953,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,735132,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_AL,Alabama,131171,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,4833722,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_AR,Arkansas,134771,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,2959373,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_AZ,Arizona,294207,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,6626624,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_CA,California,403466,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,38332521,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_CO,Colorado,268431,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,5268367,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_CT,Connecticut,12542,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,3596080,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_DC,District of Columbia,158,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,646449,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_DE,Delaware,5047,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,925749,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_FL,Florida,138887,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,19552860,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_GA,Georgia,148959,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,9992167,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_HI,Hawaii,16635,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,1404054,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_IA,Iowa,144669,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,3090416,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_ID,Idaho,214045,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,1612136,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_IL,Illinois,143793,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,12882135,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_IN,Indiana,92789,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,6570902,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_KS,Kansas,211754,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,2893957,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_KY,Kentucky,102269,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,4395295,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_LA,Louisiana,111898,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,4625470,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_MA,Massachusetts,20202,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,6692824,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_MD,Maryland,25142,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,5928814,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_ME,Maine,79883,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,1328302,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_MI,Michigan,146435,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,9895622,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
